1,1,347507,394939,412427,1237358,-1,347507,394939,412427
1,2,1288804,368938,1300939,4232470,273787,1288806,1368938,1300939
1,3,417262,320555,186138,1007407,834527,417262,320555,186138
2,1,544407,339497,363145,1355930,108881,544407,339497,363145
2,2,1387144,728360,1162987,3555919,277428,1387144,728360,1162987
2,3,313965,317877,489568,1219323,979135,313965,317877,489568
3,1,438446,371414,337780,1235329,87689,438446,371414,337780
3,2,1225679,205230,969081,3645121,245135,1225675,1205230,969081
3,3,469316,389002,328156,1280337,938637,469316,389002,328156
4,1,458187,456973,443692,1450489,91637,458187,456973,443692
4,2,1222424,817610,789026,4192586,363522,1222428,1817610,789026
4,3,212362,402029,339164,1033960,80405,212362,402029,339164
5,1,277009,423884,256971,1042640,84776,277009,423884,256971
5,2,563176,1224337,809612,2841992,244867,563176,1224337,809612
5,3,328719,298829,65899,759190,657437,328719,298829,65899
6,1,371108,468594,426147,1359567,93718,371108,468594,426147
6,2,1476700,355892,801442,3929374,295340,1476700,1355892,801442
6,3,577350,375144,647237,1729178,129447,577350,375144,647237
7,1,553815,358372,381001,1403951,110763,553815,358372,381001
7,2,1555954,143094,1261847,4272084,311190,1555953,1143094,1261847
7,3,571449,443704,267273,1396715,114289,571449,443704,267273
8,1,464318,462067,398300,1417548,92863,464318,462067,398300
8,2,1051344,657673,575026,3615581,-1,1051348,1657673,575026
8,3,383009,282177,310700,1052487,766017,383009,282177,310700
9,1,347674,518046,510087,1479416,103609,347674,518046,510087
9,2,1593734,1201938,1288787,4403205,318746,1593734,1201938,1288787
9,3,462638,293310,330275,1178750,925277,462638,293310,330275
10,1,331418,521079,375945,1332657,104215,331418,521079,375945
10,2,1600174,82022,1031568,4033803,320035,1600178,1082022,1031568
10,3,500066,254232,323575,1177886,100013,500066,254232,323575
11,1,612750,431988,348457,1515745,122550,612750,431988,348457
11,2,768978,947019,1118689,3058423,223737,768978,947019,1118689
11,3,468485,566653,257442,1405910,113330,468485,566653,257442
12,1,381959,454293,438292,1365402,90858,381959,454293,438292
12,2,1194014,313322,1211185,3981183,262664,1194012,1313322,1211185
12,3,571610,168380,395544,1249856,114322,571610,168380,395544
13,1,357142,434126,354325,1232418,86825,357142,434126,354325
13,2,895645,1402360,463322,3041799,280472,895645,1402360,463322
13,3,409711,287602,318913,1098168,819427,409711,287602,318913
14,1,715980,384150,550855,1794181,143196,715980,384150,550855
14,2,1066176,982891,1234608,3530596,246921,1066176,982891,1234608
14,3,440005,210877,358677,1097560,880017,440005,210877,358677
15,1,537890,463348,163876,1272692,107578,537890,463348,163876
15,2,1306619,855278,1064220,4597168,371055,1306615,1855278,1064220
15,3,405060,553013,273827,1342502,110602,405060,553013,273827
16,1,450637,439528,354815,1335107,90127,450637,439528,354815
16,2,969812,1132937,1308691,3673178,261738,969812,1132937,1308691
16,3,179998,296108,279452,814779,59221,179998,296108,279452
17,1,588440,646616,574062,1938441,129323,588440,646616,574062
17,2,1253361,823887,828940,4270971,364777,1253367,1823887,828940
17,3,375375,434368,444553,1343206,88910,375375,434368,444553
18,1,331315,346335,597342,1394460,119468,331315,346335,597342
18,2,841645,1479908,1449370,4066904,295981,841645,1479908,1449370
18,3,450123,467201,490450,1505864,98090,450123,467201,490450
19,1,359127,398774,195122,1032777,79754,359127,398774,195122
19,2,1240674,438562,999357,3966307,287712,1240676,1438562,999357
19,3,530417,365973,23980,1026453,106083,530417,365973,23980
20,1,587054,450848,745112,1932036,149022,587054,450848,745112
20,2,1349639,424982,1038532,4098145,284996,1349635,1424982,1038532
20,3,447377,272221,379362,1188435,894757,447377,272221,379362
21,1,380393,387427,490648,1356597,98129,380393,387427,490648
21,2,1349611,1206,744174,4000828,269922,1349611,1206744,1174551
21,3,583687,378317,490638,1569379,116737,583687,378317,490638
22,1,526027,659010,530799,1847638,131802,526027,659010,530799
22,2,1105739,328159,767302,3466827,265631,1105735,1328159,767302
22,3,410576,234130,388013,1114834,821157,410576,234130,388013
23,1,369847,507252,466229,1444778,101450,369847,507252,466229
23,2,1651410,972507,1242434,4196633,330282,1651410,972507,1242434
23,3,639378,332692,498994,1598939,127875,639378,332692,498994
24,1,603786,522695,242904,1490142,120757,603786,522695,242904
24,2,1446614,116,748,351941,-1,1446616,1116748,666804
24,3,388238,471206,167368,1121053,94241,388238,471206,167368
25,1,196704,582636,554866,1450733,116527,196704,582636,554866
25,2,1438861,1262683,1100141,4089457,287772,1438861,1262683,1100141
25,3,647821,226341,281620,1285346,129564,647821,226341,281620
26,1,243732,356625,378799,1054915,-1,243732,356625,378799
26,2,780461,791163,922113,2678159,184422,780461,791163,922113
26,3,491242,338064,369925,1297479,982487,491242,338064,369925
27,1,427546,433703,486635,1445211,97327,427546,433703,486635
27,2,1416854,442979,436515,3584945,288595,1416856,1442979,436515
27,3,420368,180078,255365,939884,840737,420368,180078,255365
28,1,347584,420920,290782,1143470,84184,347584,420920,290782
28,2,1361090,968849,602911,3205068,272218,1361090,968849,602911
28,3,446440,410477,454456,1402264,90891,446440,410477,454456
29,1,355546,313813,297812,1038280,71109,355546,313813,297812
29,2,420705,1348974,1075630,3115103,269794,420705,1348974,1075630
29,3,498421,67471,412315,1077891,996847,498421,67471,412315
30,1,225079,386961,310491,999923,77392,225079,386961,310491
30,2,1104014,720856,597512,3766557,344171,1104018,1720856,597512
30,3,481944,416702,320643,1315677,963887,481944,416702,320643
31,1,501092,340552,667137,1642208,133427,501092,340552,667137
31,2,1288540,225129,837390,3608767,257708,1288540,1225129,837390
31,3,506557,191473,396396,1195737,101311,506557,191473,396396
32,1,440861,496170,412215,1448480,99234,440861,496170,412215
32,2,1295852,958865,1212490,3726377,259170,1295852,958865,1212490
32,3,503023,314093,398568,1316288,100604,503023,314093,398568
33,1,704333,451921,332996,1630116,140866,704333,451921,332996
33,2,782695,718405,1434304,3222264,286860,782695,718405,1434304
33,3,505980,68343,336935,1012454,101196,505980,68343,336935
34,1,483921,412945,274008,1267658,96784,483921,412945,274008
34,2,1445691,144424,1029799,3909059,289139,1445697,1144424,1029799
34,3,368310,293414,314580,1049966,736627,368310,293414,314580
35,1,344591,487958,612223,1567216,-1,344591,487958,612223
35,2,836258,1174345,923452,3168924,234869,836258,1174345,923452
35,3,332133,141277,426372,985056,85274,332133,141277,426372
36,1,257963,465875,776501,1655639,155300,257963,465875,776501
36,2,1192514,1828682,1027177,4414109,365736,1192514,1828682,1027177
36,3,419977,297492,386850,1188314,839957,419977,297492,386850
37,1,596833,442056,545619,1703874,119366,596833,442056,545619
37,2,1176869,777591,1088025,3277858,-1,1176869,777591,1088025
37,3,466401,305375,698173,1609583,-1,466401,305375,698173
38,1,807896,352385,446732,1768592,-1,807896,352385,446732
38,2,1535310,293738,767504,3903614,307062,1535310,1293738,767504
38,3,477528,383596,341845,1298474,955057,477528,383596,341845
39,1,584146,331674,277000,1309649,116829,584146,331674,277000
39,2,792220,1515141,821585,3431974,303028,792220,1515141,821585
39,3,541648,316513,385586,1352076,108329,541648,316513,385586
40,1,309670,423026,630593,1489407,126118,309670,423026,630593
40,2,1136762,276280,885396,3553694,255256,1136762,1276280,885396
40,3,469651,394936,274969,1233486,939307,469651,394936,274969
41,1,372798,383860,274561,1107991,76772,372798,383860,274561
41,2,1160431,1818042,556949,3899030,363608,1160431,1818042,556949
41,3,458395,390233,504639,1454194,100927,458395,390233,504639
42,1,374016,583849,395230,1469864,116769,374016,583849,395230
42,2,1176544,809749,1353787,4702028,361949,1176543,1809749,1353787
42,3,544021,242907,592903,1498411,118580,544021,242907,592903
43,1,499257,262550,473634,1335292,99851,499257,262550,473634
43,2,984505,1250323,1041575,3526467,250064,984505,1250323,1041575
43,3,607922,188000,421072,1338578,121584,607922,188000,421072
44,1,327961,583794,226710,1255223,116758,327961,583794,226710
44,2,1408064,793452,881300,4441505,358690,1408063,1793452,881300
44,3,442248,185168,333543,1049408,884497,442248,185168,333543
45,1,347119,574211,458540,1494712,114842,347119,574211,458540
45,2,1217,474532,601,3862306,306520,1217473,1532601,805712
45,3,470664,159952,74005,7987536,941327,470664,159952,74005
46,1,325391,454674,313770,1184769,90934,325391,454674,313770
46,2,1203200,580085,1217014,4316316,316017,1203200,1580085,1217014
46,3,473632,306926,376281,1251565,947267,473632,306926,376281
47,1,577134,459368,713933,1893221,142786,577134,459368,713933
47,2,1351010,306587,756759,3684558,270202,1351010,1306587,756759
47,3,542231,390755,349841,1391273,108446,542231,390755,349841
48,1,435895,471518,510211,1519666,102042,435895,471518,510211
48,2,1426914,1473282,673900,3868752,294656,1426914,1473282,673900
48,3,553018,391316,232574,1287511,110603,553018,391316,232574
49,1,271826,523888,385449,1285940,104777,271826,523888,385449
49,2,827780,1059254,968209,3067093,211850,827780,1059254,968209
49,3,513278,252630,413218,1281781,102655,513278,252630,413218
50,1,389169,377436,343922,1188360,77833,389169,377436,343922
50,2,1324384,585254,873977,4100669,317050,1324388,1585254,873977
50,3,443889,212211,175753,920630,887777,443889,212211,175753
51,1,678913,450357,497123,1762175,135782,678913,450357,497123
51,2,1231624,908753,1164311,3551012,246324,1231624,908753,1164311
51,3,384723,450266,373684,1298726,90053,384723,450266,373684
52,1,282020,621656,487084,1515091,-1,282020,621656,487084
52,2,1236384,265686,1110321,3865532,253137,1236388,1265686,1110321
52,3,357306,423725,472107,1347559,94421,357306,423725,472107
53,1,452640,337800,603745,1514934,120749,452640,337800,603745
53,2,1222797,59576,853415,3380347,244559,1222797,1059576,853415
53,3,476463,326528,366507,1264790,952927,476463,326528,366507
54,1,710856,543411,310549,1706987,-1,710856,543411,310549
54,2,756239,1533366,1077689,3673967,306673,756239,1533366,1077689
54,3,518492,292307,449809,1364306,103698,518492,292307,449809
55,1,770063,415259,305375,1644709,154012,770063,415259,305375
55,2,1278511,515362,925404,4022355,303072,1278517,1515362,925404
55,3,456426,339718,540703,1444987,108140,456426,339718,540703
56,1,406653,459158,642791,1637160,128558,406653,459158,642791
56,2,910789,1056219,1456470,3714772,291294,910789,1056219,1456470
56,3,464229,358903,338611,1254588,928457,464229,358903,338611
57,1,262919,359715,380349,1079052,-1,262919,359715,380349
57,2,1009872,347501,920454,3547327,269500,1009872,1347501,920454
57,3,388714,115292,353013,9347616,777427,388714,115292,353013
58,1,604511,302070,448750,1476233,120902,604511,302070,448750
58,2,1083764,175675,996536,3491112,235135,1083766,1175675,996536
58,3,296253,345825,578454,1336222,115690,296253,345825,578454
59,1,549949,700780,558765,1949650,140156,549949,700780,558765
59,2,1559999,533747,1225952,4631693,311999,1559995,1533747,1225952
59,3,473500,268954,431132,1268286,947007,473500,268954,431132
60,1,352603,498161,376204,1326600,99632,352603,498161,376204
60,2,1166044,540545,1327962,4542659,308109,1166043,1540545,1327962
60,3,506069,493007,243465,1343754,101213,506069,493007,243465
61,1,687008,598633,228261,1651303,137401,687008,598633,228261
61,2,509636,1599913,1042665,3472196,319982,509636,1599913,1042665
61,3,297461,160650,498898,1056788,99779,297461,160650,498898
62,1,629649,459385,495943,1710906,-1,629649,459385,495943
62,2,1067,44090,419,3474488,219503,1067048,1090419,1097518
62,3,421506,422559,408296,1336872,84511,421506,422559,408296
63,1,400901,387271,331635,1199987,80180,400901,387271,331635
63,2,1717830,8645360,1421512,5128268,343566,1717830,1645360,1421512
63,3,509685,479604,485882,1577108,101937,509685,479604,485882
64,1,450045,342981,267300,1150335,90009,450045,342981,267300
64,2,1235582,41718,1010546,3534962,247116,1235582,1041718,1010546
64,3,216861,206704,333767,824085,66753,216861,206704,333767
65,1,921839,297395,590296,1993897,184367,921839,297395,590296
65,2,1475924,410862,456526,3638502,295185,1475929,1410862,456526
65,3,375977,364585,416335,1240164,83267,375977,364585,416335
66,1,229139,544660,356007,1238738,108932,229139,544660,356007
66,2,1491714,49302,1105066,3944427,-1,1491716,1049302,1105066
66,3,607360,570111,404916,1703859,121472,607360,570111,404916
67,1,260057,423377,504865,1289272,100973,260057,423377,504865
67,2,1255071,682694,1268998,4543530,336538,1255077,1682694,1268998
67,3,202516,372877,405981,1062570,81196,202516,372877,405981
68,1,908834,429827,595254,2115681,181766,908834,429827,595254
68,2,970011,981303,820314,2967888,196260,970011,981303,820314
68,3,504711,367574,346295,1319522,100942,504711,367574,346295
69,1,434090,463103,621475,1642963,124295,434090,463103,621475
69,2,654726,1547229,1014668,3526068,309445,654726,1547229,1014668
69,3,362884,269053,124220,828733,725767,362884,269053,124220
70,1,335105,341440,361619,1110487,-1,335105,341440,361619
70,2,1141061,489737,1067474,3996225,297947,1141067,1489737,1067474
70,3,509774,321091,235786,1168605,101954,509774,321091,235786
71,1,532884,293424,348104,1280988,106576,532884,293424,348104
71,2,1359029,958040,806333,3395207,271805,1359029,958040,806333
71,3,332248,258813,404505,1076467,80901,332248,258813,404505
72,1,439398,566693,535805,1655234,-1,439398,566693,535805
72,2,808826,1448183,1029483,3576128,289636,808826,1448183,1029483
72,3,191653,324173,326906,908113,65381,191653,324173,326906
73,1,246656,539418,350310,1244267,107883,246656,539418,350310
73,2,1420184,309291,863949,3877463,284037,1420186,1309291,863949
73,3,92520,425277,493933,1110516,98786,92520,425277,493933
74,1,381093,442535,353118,1265253,88507,381093,442535,353118
74,2,1366191,278950,819859,3738238,273238,1366191,1278950,819859
74,3,576883,472785,411529,1576573,115376,576883,472785,411529
75,1,427648,430913,420639,1365382,86182,427648,430913,420639
75,2,1316284,417614,1186489,4203913,283522,1316288,1417614,1186489
75,3,326576,485041,300310,1208935,97008,326576,485041,300310
76,1,249182,292447,341171,951034,-1,249182,292447,341171
76,2,628745,1585167,924742,3455687,317033,628745,1585167,924742
76,3,429339,277389,252326,1044921,858677,429339,277389,252326
77,1,517956,648649,550242,1846576,129729,517956,648649,550242
77,2,1118797,541458,1199735,3099937,239947,1118797,541458,1199735
77,3,495253,349544,402565,1346412,990507,495253,349544,402565
78,1,558754,572984,340390,1586724,114596,558754,572984,340390
78,2,1610362,964019,1368826,4265279,322072,1610362,964019,1368826
78,3,365606,175357,366221,980428,73244,365606,175357,366221
79,1,668598,363824,426948,1593089,133719,668598,363824,426948
79,2,1452224,50997,833547,3627218,290445,1452229,1050997,833547
79,3,488254,462993,356071,1404968,976507,488254,462993,356071
80,1,185516,449819,274214,999512,89963,185516,449819,274214
80,2,1030584,266949,932740,3483661,253389,1030583,1266949,932740
80,3,100356,207666,230771,584947,46154,100356,207666,230771
81,1,464326,510586,586797,1679068,117359,464326,510586,586797
81,2,1258371,122357,712382,3344784,251674,1258371,1122357,712382
81,3,555867,212908,234853,1114801,111173,555867,212908,234853
82,1,406952,536020,496474,1546650,107204,406952,536020,496474
82,2,828604,1132067,1193330,3392667,238666,828604,1132067,1193330
82,3,242575,436749,456119,1226666,91223,242575,436749,456119
83,1,523690,313467,468872,1410767,104738,523690,313467,468872
83,2,1609444,986048,447442,3364822,321888,1609444,986048,447442
83,3,510700,408767,559994,1591459,111998,510700,408767,559994
84,1,598169,318851,384526,1421179,-1,598169,318851,384526
84,2,1089201,157043,822374,3300026,231408,1089201,1157043,822374
84,3,544542,440909,324705,1419064,108908,544542,440909,324705
85,1,320216,587058,402279,1426964,117411,320216,587058,402279
85,2,1042516,962598,1163733,3401593,232746,1042516,962598,1163733
85,3,555679,179540,596808,1451388,119361,555679,179540,596808
86,1,554270,256073,443231,1364428,110854,554270,256073,443231
86,2,736703,1313642,1180786,3493859,262728,736703,1313642,1180786
86,3,346353,598406,282629,1347069,119681,346353,598406,282629
87,1,312912,497105,527628,1443170,105525,312912,497105,527628
87,2,1417878,869134,1465603,4045735,293120,1417878,869134,1465603
87,3,509798,164346,241162,1017265,101959,509798,164346,241162
88,1,216612,400766,583468,1317539,116693,216612,400766,583468
88,2,12521,1322778,333597,2733451,264555,812521,1322778,333597
88,3,455597,304883,409063,1260662,911197,455597,304883,409063
89,1,758669,295258,561831,1767491,-1,758669,295258,561831
89,2,1276054,208994,1329291,4080202,265858,1276059,1208994,1329291
89,3,331952,356609,687609,1513691,137521,331952,356609,687609
90,1,377560,538318,703562,1760152,140712,377560,538318,703562
90,2,871588,1354278,1316475,3813196,270855,871588,1354278,1316475
90,3,358959,370980,253905,1058040,74196,358959,370980,253905
91,1,509271,344419,297650,1253194,101854,509271,344419,297650
91,2,1027902,147471,1235373,3657820,247074,1027902,1147471,1235373
91,3,450760,403224,45762,989898,901527,450760,403224,45762
92,1,531586,454814,601964,1708756,120392,531586,454814,601964
92,2,1283190,481155,1086672,4147248,296231,1283190,1481155,1086672
92,3,430607,153772,611230,1317855,122246,430607,153772,611230
93,1,532414,255772,384668,1279336,106482,532414,255772,384668
93,2,1321574,417931,826675,3849765,283586,1321573,1417931,826675
93,3,447551,342268,181278,1060607,895107,447551,342268,181278
94,1,265102,467344,283849,1109763,93468,265102,467344,283849
94,2,1261432,115772,887456,3516946,252286,1261432,1115772,887456
94,3,443433,520153,288989,1356605,104030,443433,520153,288989
95,1,707134,226967,348529,1424056,-1,707134,226967,348529
95,2,1569474,587554,1000018,4474561,317510,1569479,1587554,1000018
95,3,482536,347602,301819,1228464,965077,482536,347602,301819
96,1,469488,525510,224674,1324774,105102,469488,525510,224674
96,2,1172129,232779,1361069,4038186,272213,1172125,1232779,1361069
96,3,411705,366442,261071,1121559,823417,411705,366442,261071
97,1,676490,594330,366814,1772932,135298,676490,594330,366814
97,2,1155944,33286,1296511,3745042,259302,1155943,1033286,1296511
97,3,276818,541170,261909,1188131,108234,276818,541170,261909
98,1,364011,287225,409122,1142182,81824,364011,287225,409122
98,2,1697,544275,313,4253544,339509,1697546,1275313,941176
98,3,196974,207094,504584,1009568,100916,196974,207094,504584
99,1,778791,403957,491213,1829719,155758,778791,403957,491213
99,2,1070932,591554,1042066,4022862,318310,1070932,1591554,1042066
99,3,485503,303725,469089,1355417,971007,485503,303725,469089
100,1,297697,283678,496130,1176731,-1,297697,283678,496130
100,2,1116564,293012,1045370,3713547,258602,1116563,1293012,1045370
100,3,481202,257541,156102,991085,962407,481202,257541,156102
101,1,517682,489860,571399,1693220,114279,517682,489860,571399
101,2,1359284,636956,1362791,4686421,327391,1359283,1636956,1362791
101,3,504122,162692,367284,1134922,100824,504122,162692,367284
102,1,711577,435652,412944,1702488,-1,711577,435652,412944
102,2,1027130,611202,1282857,4243542,322240,1027130,1611202,1282857
102,3,610375,449187,217405,1399042,122075,610375,449187,217405
103,1,342636,461696,521585,1430234,104317,342636,461696,521585
103,2,1357791,1362234,935564,3928035,272446,1357791,1362234,935564
103,3,299168,349877,493735,1241527,98747,299168,349877,493735
104,1,688609,469307,377591,1673228,-1,688609,469307,377591
104,2,1306061,333301,1207611,4113639,266660,1306067,1333301,1207611
104,3,328510,368600,253861,1024691,73720,328510,368600,253861
105,1,236181,433735,222620,979283,86747,236181,433735,222620
105,2,762164,1574623,902607,3554318,314924,762164,1574623,902607
105,3,345081,290340,200629,905066,690167,345081,290340,200629
106,1,531578,281454,710931,1666149,142186,531578,281454,710931
106,2,1135284,61537,741947,3165823,227056,1135283,1061537,741947
106,3,453648,245938,407774,1198089,907297,453648,245938,407774
107,1,633238,530124,359118,1649127,126647,633238,530124,359118
107,2,1185979,619656,1095028,3137858,-1,1185979,619656,1095028
107,3,393497,497211,296341,1286491,99442,393497,497211,296341
108,1,695405,610644,271903,1717033,139081,695405,610644,271903
108,2,1740732,377043,1360352,4826273,348146,1740732,1377043,1360352
108,3,342328,504734,487170,1435178,100946,342328,504734,487170
109,1,303759,623230,429005,1480640,124646,303759,623230,429005
109,2,1528144,625434,460794,3593946,325086,1528149,1625434,460794
109,3,366493,166805,371034,978538,74206,366493,166805,371034
110,1,523455,221767,455945,1305858,104691,523455,221767,455945
110,2,1308054,541821,611280,3769521,308364,1308056,1541821,611280
110,3,549195,301298,348997,1309329,109839,549195,301298,348997
111,1,412547,534441,276278,1330154,106888,412547,534441,276278
111,2,1687322,320690,1061174,4406650,337464,1687322,1320690,1061174
111,3,572768,407841,419809,1514971,114553,572768,407841,419809
112,1,706332,452311,460976,1760885,141266,706332,452311,460976
112,2,1102944,189731,691339,3221962,237946,1102946,1189731,691339
112,3,386105,443701,460754,1382710,92150,386105,443701,460754
113,1,459513,234771,274682,1060868,91902,459513,234771,274682
113,2,539273,941543,1007658,2690005,201531,539273,941543,1007658
113,3,260051,326357,382108,1044937,76421,260051,326357,382108
114,1,450451,299047,318688,1158276,90090,450451,299047,318688
114,2,944081,1767,199307,4264050,-1,944081,1767219,1199307
114,3,451662,374696,552687,1489582,110537,451662,374696,552687
115,1,594936,438055,449464,1601442,118987,594936,438055,449464
115,2,1275082,694818,1437165,3694498,287433,1275082,694818,1437165
115,3,524314,144027,219127,992330,104862,524314,144027,219127
116,1,314071,598471,275254,1307490,-1,314071,598471,275254
116,2,1223124,462807,537757,3516253,292561,1223128,1462807,537757
116,3,388203,485193,327978,1298412,97038,388203,485193,327978
117,1,452648,523304,310901,1391513,104660,452648,523304,310901
117,2,716381,1684186,1011507,3748911,336837,716381,1684186,1011507
117,3,530952,343838,332426,1313406,106190,530952,343838,332426
118,1,985824,434269,737483,2354740,-1,985824,434269,737483
118,2,1749421,134477,947481,4181263,349884,1749421,1134477,947481
118,3,478967,62070,361827,998657,957937,478967,62070,361827
119,1,204351,503108,357404,1165484,100621,204351,503108,357404
119,2,1262217,443230,874938,2832828,252445,1262217,443230,874938
119,3,555594,277725,228853,1173290,111118,555594,277725,228853
120,1,766154,463991,375069,1758444,153230,766154,463991,375069
120,2,1280654,176186,891479,3604452,256131,1280656,1176186,891479
120,3,497473,483400,325973,1406340,994947,497473,483400,325973
121,1,638202,492003,379945,1637790,127640,638202,492003,379945
121,2,687751,1611373,1483668,4105066,322274,687751,1611373,1483668
121,3,519778,574929,443745,1653437,114985,519778,574929,443745
122,1,452332,392036,706639,1692334,141327,452332,392036,706639
122,2,1276109,606246,1291679,4495279,321249,1276105,1606246,1291679
122,3,270547,387954,344883,1080974,77590,270547,387954,344883
123,1,192500,389027,410467,1074087,82093,192500,389027,410467
123,2,428036,1291824,1171674,3149898,258364,428036,1291824,1171674
123,3,465673,316781,324599,1200187,-1,465673,316781,324599
124,1,494472,537167,286109,1425181,107433,494472,537167,286109
124,2,1691344,1394479,786762,4210853,338268,1691344,1394479,786762
124,3,411883,338605,552830,1413884,110566,411883,338605,552830
125,1,374160,419726,278124,1155955,83945,374160,419726,278124
125,2,938651,1241008,964215,3392075,248201,938651,1241008,964215
125,3,316314,274200,340708,999363,68141,316314,274200,340708
126,1,598079,534177,198455,1450326,-1,598079,534177,198455
126,2,1106232,509948,1251203,4169372,301989,1106232,1509948,1251203
126,3,431863,387602,453911,1364158,90782,431863,387602,453911
127,1,617234,381774,372624,1495078,-1,617234,381774,372624
127,2,992415,1113952,1470553,3871030,294110,992415,1113952,1470553
127,3,497284,394433,200832,1192005,994567,497284,394433,200832
128,1,273611,332258,278923,951243,66451,273611,332258,278923
128,2,1194544,1317198,957816,3732997,263439,1194544,1317198,957816
128,3,431441,285619,501633,1319019,100326,431441,285619,501633
129,1,385640,407433,260657,1135216,81486,385640,407433,260657
129,2,1177151,627131,789872,3919586,325426,1177157,1627131,789872
129,3,421316,306690,387395,1199664,842637,421316,306690,387395
130,1,274003,200497,275460,805052,55092,274003,200497,275460
130,2,1132624,514087,827787,3777314,302817,1132623,1514087,827787
130,3,515032,547420,413188,1585124,109484,515032,547420,413188
131,1,374594,421200,592716,1507053,118543,374594,421200,592716
131,2,1400060,520300,863178,4087598,304060,1400060,1520300,863178
131,3,545616,361072,436068,1451879,109123,545616,361072,436068
132,1,247066,538087,378353,1271123,107617,247066,538087,378353
132,2,1554982,271674,1196701,4334353,310996,1554982,1271674,1196701
132,3,195583,472200,159194,921417,94440,195583,472200,159194
133,1,316162,342239,729435,1533723,145887,316162,342239,729435
133,2,1118564,42930,1063837,3449046,-1,1118566,1042930,1063837
133,3,628795,383162,627724,1765440,125759,628795,383162,627724
134,1,506726,512286,403643,1525112,102457,506726,512286,403643
134,2,1001,719,4356,3643814,271355,1001719,1356777,1013963
134,3,395022,339377,259256,1072659,790047,395022,339377,259256
135,1,193266,387192,300307,958203,77438,193266,387192,300307
